GeoID,Zoom,Link
60250115003,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250115003&x=-115.5572517&y=32.7981248
60250115004,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250115004&x=-115.5615604&y=32.8022943
60250116001,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250116001&x=-115.5653536&y=32.7839998
60250116002,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250116002&x=-115.5569369&y=32.7898462
60250116003,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250116003&x=-115.5657706&y=32.7896374
60250116004,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250116004&x=-115.5568797&y=32.7841567
60250117001,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250117001&x=-115.5495093&y=32.7774692
60250117002,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250117002&x=-115.5653843&y=32.7776374
60250117003,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250117003&x=-115.5576848&y=32.7774287
60250118011,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250118011&x=-115.5822199&y=32.785088
60250118012,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250118012&x=-115.5876658&y=32.7829167
60250118021,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250118021&x=-115.5763484&y=32.7892504
60250118022,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250118022&x=-115.573991&y=32.7755628
60250118023,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250118023&x=-115.5731806&y=32.7861479
60250118024,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250118024&x=-115.5739798&y=32.7793981
60250118031,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250118031&x=-115.5662146&y=32.7625611
60250119001,11.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250119001&x=-115.5922411&y=32.6920132
60250119002,11.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250119002&x=-115.3755635&y=32.697235
60250119003,12,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250119003&x=-115.45911&y=32.7128301
60250120011,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250120011&x=-115.4862343&y=32.6675691
60250120012,16.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250120012&x=-115.4866372&y=32.6708589
60250120021,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250120021&x=-115.4754525&y=32.6751921
60250120022,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250120022&x=-115.4832708&y=32.6828427
60250121001,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250121001&x=-115.4977143&y=32.6777207
60250121002,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250121002&x=-115.4963682&y=32.6742122
60250121003,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250121003&x=-115.4957118&y=32.668699
60250121004,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250121004&x=-115.4994561&y=32.682863
60250122001,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250122001&x=-115.5078694&y=32.6766186
60250122002,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250122002&x=-115.5197763&y=32.6799933
60250122003,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250122003&x=-115.5177335&y=32.6682657
60250122004,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250122004&x=-115.5149534&y=32.6767649
60250123011,10,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250123011&x=-115.9210975&y=32.9339747
60250123012,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250123012&x=-116.0026574&y=32.7450861
60250123021,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250123021&x=-116.036024&y=33.4063988
60250123022,12,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250123022&x=-115.9692722&y=33.3497127
60250123023,11.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250123023&x=-115.8770315&y=33.27526
60250124001,11.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250124001&x=-115.7835421&y=33.3753015
60250124002,10,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060250124002&x=-115.1129244&y=33.2021663
60259400001,11.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060259400001&x=-114.5518584&y=32.794562
60259400002,12,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060259400002&x=-114.6320031&y=32.7631222
60259400003,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060259400003&x=-114.6675664&y=32.7424027
60371011102,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371011102&x=-118.2960924&y=34.2578108
60371011103,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371011103&x=-118.2961338&y=34.2613533
60371011221,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371011221&x=-118.2946904&y=34.2709456
60371011222,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371011222&x=-118.2832924&y=34.262857
60371012101,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371012101&x=-118.2885261&y=34.2513519
60371012102,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371012102&x=-118.2925767&y=34.254329
60371012201,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371012201&x=-118.2817171&y=34.2537861
60371012202,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371012202&x=-118.2815564&y=34.2496362
60371013001,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371013001&x=-118.2707965&y=34.253796
60371013002,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371013002&x=-118.2701321&y=34.2386337
60371013003,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371013003&x=-118.2698773&y=34.2463156
60371013004,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371013004&x=-118.2752597&y=34.2494037
60371014001,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371014001&x=-118.2977188&y=34.2525909
60371014002,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371014002&x=-118.295637&y=34.242207
60371014003,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371014003&x=-118.2835188&y=34.2442897
60371021031,15,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371021031&x=-118.354188&y=34.2250792
60371021041,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371021041&x=-118.3420406&y=34.2122732
60371021042,15.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371021042&x=-118.3481269&y=34.2193682
60371021051,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371021051&x=-118.3511178&y=34.2109495
60371021052,16,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371021052&x=-118.3470887&y=34.2086145
60371021071,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371021071&x=-118.3395988&y=34.2409052
60371021072,12.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371021072&x=-118.3328089&y=34.2329623
60371031011,14.5,https://revision.lewis.ucla.edu/details/index.html?geoid=15000US060371031011&x=-118.3074969&y=34.2739069
